flood,severity,location lat,location long,source,rainfall mm,river level m,wind speed kmh,temperature c,humidity percent,soil moisture percent,urban area,drainage index,available ambulance,available rescue teams,available medical kits,nearest hospital distance km,evacuation centres open
Yes,Moderate,13.209325,88.682705,Satellite,176.51,3.71,63.45,19.86,94.71,36.2,1,0.459,0,8,116,15.11,9
Yes,Moderate,24.156485,93.384938,Local Authority,180.89,4.78,133.5,36.07,45.79,13.35,0,0.024,19,0,163,31.68,9
No,Moderate,21.695006,90.233553,NGO Report,230.01,12.44,42.01,12.83,87.61,27.63,1,0.285,12,13,179,37.69,7
No,Low,16.327857,75.543548,IMD,112.3,10.94,50.34,28.68,41.54,48.96,1,0.605,16,9,67,26.29,5
No,Low,11.832304,69.052914,IMD,108.45,6.44,33.94,41.29,81.52,13.38,1,0.914,13,2,113,37.41,2
Yes,High,15.872887,86.214118,Satellite,338.95,7.26,5.73,14.89,55.87,32.05,0,0.256,0,15,72,30.98,3
No,Extreme,32.438819,90.218672,NGO Report,163.79,2.25,4.28,13.18,42.19,27.45,0,0.092,3,14,116,39.54,1
Yes,Severe,32.615987,88.824074,Satellite,449.41,14.05,51.05,37.83,76.87,49.43,0,0.114,19,8,31,9.83,8
No,Moderate,23.812574,95.289814,Satellite,470.02,13.72,120.73,24.6,93.49,84.38,0,0.016,20,9,153,42.58,7
Yes,Severe,35.766326,68.297348,NGO Report,85.26,2.63,92.42,33.11,40.97,74.19,0,0.1,9,8,80,33.74,7
Yes,Extreme,33.64282,82.969837,Satellite,307.6,4.93,55.44,41.45,52.06,56.07,0,0.459,12,2,157,20.22,4
No,Severe,11.093431,76.89888,Local Authority,269.3,10.1,120.43,14.77,92.38,25.73,0,0.537,14,2,97,37.36,6
No,Low,16.683351,85.120387,Satellite,357.55,10.79,132.1,31.71,76.69,43.65,0,0.913,9,5,57,44.44,9
Yes,Severe,28.180671,83.365338,Local Authority,317.05,3.41,79.57,15.94,39,89.17,0,0.68,0,6,127,46.64,1
No,Low,31.613432,84.990374,Local Authority,70.11,8.03,102.11,38.16,62.16,24.97,0,0.031,10,6,167,19.92,4
No,Moderate,12.631463,75.797903,Satellite,247.08,8.72,85.95,32.99,29.93,23.85,1,0.395,7,3,191,16.55,0
No,High,24.891513,74.287377,NGO Report,12.33,8.81,1.16,21.79,74.82,42.29,0,0.458,4,12,81,22.72,8
Yes,Severe,9.612968,95.41436,Satellite,136.01,10.08,10.34,16.56,40.02,81.22,1,0.676,17,6,145,38.29,4
Yes,Low,21.73384,90.502231,Satellite,67.87,14.1,122.35,15.12,45.07,73.48,1,0.078,10,4,180,22.76,1
No,High,16.560498,73.068354,IMD,172.23,14.66,72.66,19,25.11,76.34,0,0.169,7,14,1,48.13,8
No,Moderate,27.785312,73.038697,Local Authority,34.1,11.53,114.96,22.42,83.66,13.49,1,0.041,15,11,126,5.89,5
Yes,High,36.721007,86.963079,Satellite,489.2,4.22,70.23,31.54,34.89,56.44,0,0.317,5,15,81,30.89,8
Yes,Extreme,16.230578,78.674597,Satellite,3.72,5.77,47.47,12.04,78.21,18.83,1,0.792,19,8,40,30.92,7
No,Severe,24.361384,75.09256,Citizen Report,436.05,3.74,45.73,12.11,36.69,53.71,0,0.513,17,4,83,43.16,4
No,Moderate,11.078939,87.361124,Citizen Report,255.15,3.12,74.95,32.3,64.86,50.72,1,0.863,2,8,193,40.06,4
No,High,22.162371,72.097513,Local Authority,53.9,12.39,123.62,32.82,44.87,58.1,1,0.296,17,2,49,22.58,4
Yes,Low,20.122832,84.758537,IMD,327.62,10.96,122.53,28.55,85.55,87.67,1,0.254,19,15,157,5.71,3
No,Severe,8.078101,79.506957,Satellite,106.42,11.38,43.95,19.84,96.21,11.44,0,0.979,9,8,45,14.53,2
No,Low,33.927993,85.409733,Citizen Report,438.53,8.4,60.03,34.39,47.56,18.71,1,0.998,12,0,140,4.49,7
No,Severe,24.661004,72.372968,Citizen Report,328.61,5.37,3.69,18.87,58.14,13.52,0,0.232,0,7,67,23.94,8
No,Low,14.807851,80.194428,Citizen Report,217.65,10.64,132.64,20.27,43.6,99.96,1,0.216,5,4,105,32.09,8
Yes,Low,22.674172,71.006444,Citizen Report,287.29,3.05,62.86,38.83,42.71,15.91,1,0.134,7,4,26,31.16,7
Yes,Extreme,20.581738,96.069415,NGO Report,477.37,12.61,89.62,25.67,73.09,60.68,0,0.135,7,2,28,16.4,10
Yes,Extreme,28.078558,84.766134,Satellite,465.07,3.8,98.98,17.3,92.77,37.9,0,0.354,3,10,66,22.79,2
No,High,22.176357,74.856537,Citizen Report,71.73,5.75,134.98,16.24,60.11,32.63,0,0.779,14,1,147,11.57,6
No,High,18.674515,90.329274,Local Authority,84.7,1.2,46.99,25.3,72.5,38.5,0,0.791,19,6,63,15.92,7
No,Moderate,26.536802,69.604334,Satellite,410.04,9.27,19.94,17.09,93.77,13.78,1,0.352,10,8,178,32.08,1
No,Extreme,13.997591,73.616581,Local Authority,185.02,6.19,122.23,19.56,90.29,53.33,1,0.974,6,6,145,12.2,3
No,Moderate,22.225476,92.511784,Satellite,128.65,14.76,16.22,26.08,55.76,67.1,1,0.035,20,11,157,26.59,5
Yes,Extreme,11.518596,81.089155,Citizen Report,104.79,0.16,1.85,43.9,33.26,64.74,0,0.549,6,2,79,15.4,5
Yes,Low,10.80475,96.838537,IMD,30.91,14.46,122.46,22.11,49.96,50.88,1,0.071,0,4,105,27.9,4
No,Moderate,22.305922,78.944264,IMD,395.21,4.36,112.92,10.39,31.08,44.71,1,0.695,10,1,7,15.82,6
